Okręg;Liczba komisji;Liczba uwzględnionych komisji;Kart przekazane do komisji;Uprawnionych do głosowania;Karty nieużyte;Karty wydane osobiście;Karty wydane pocztą;Karty wydane łącznie;Głosujący przez pełnomocnika;Głosujący z zaświadczeniem;Otrzymane koperty;Koperty bez deklaracji;Koperty z niepodpisaną deklaracją;Koperty bez koperty z głosem;Koperty z niezamnkiętą kopertą z głosem;Koperty z głosem dodane do urny;Karty wyjęte z urny;Karty wyjęte z kopert;Nieważne karty;Ważne karty;Nieważne głosy;Zbyt wiele Xów;Brak Xa;Wykreślona lista;Głosów ważnych łącznie;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
23;986;986;760972;988577;241400;519572;173;519745;409;2986;166;7;2;0;1;156;519628;156;8;519620;12363;8465;3620;0;507257;284642;66516;11623;25163;23667;22409;47071;21106;0;2919;0;0;0;1363;778;0;0
24;961;961;732265;947710;285878;446385;194;446579;369;2971;184;13;0;1;0;171;446419;171;78;446341;10973;6659;3009;1115;435368;197575;72894;11258;20297;35116;32015;39509;23361;0;2088;0;0;626;0;629;0;0
25;657;657;636728;830798;200219;436461;326;436787;208;5723;303;7;1;2;1;293;436642;293;17;436625;9494;6451;2729;0;427131;126466;148305;16992;21366;12904;28168;30536;39184;0;3210;0;0;0;0;0;0;0
26;796;796;718890;936485;238732;480131;337;480468;236;4340;323;20;1;1;2;300;480326;299;92;480234;13526;9321;3868;0;466708;145698;156147;18918;20677;15064;30973;37410;38344;0;3477;0;0;0;0;0;0;0
27;488;488;477658;612348;132617;345036;236;345272;227;2930;229;4;2;0;3;221;345113;221;27;345086;7798;5344;2274;0;337288;136330;79506;12557;15788;11533;22122;31570;27882;0;0;0;0;0;0;0;0;0
28;442;442;371765;486784;129260;242492;164;242656;131;1434;157;11;0;1;1;144;242584;144;6;242578;5944;4212;1571;0;236634;84773;49580;8625;10111;11799;26305;27521;15942;0;1378;0;0;0;600;0;0;0
29;460;460;469792;611771;169394;300398;206;300604;132;1405;197;26;0;0;1;170;300506;169;1;300505;6838;4606;2056;0;293667;89584;85130;12181;14949;7342;21163;35793;26122;0;0;0;0;0;1403;0;0;0
30;436;436;438971;574191;141470;297490;157;297647;124;1012;149;3;0;2;0;144;297573;144;5;297568;7605;5365;1928;0;289963;114799;70188;9669;13136;5197;17201;32794;18341;0;0;0;7928;0;710;0;0;0
31;558;558;599927;777770;180785;419114;430;419544;175;2323;411;21;2;1;0;387;419420;387;43;419377;8187;5484;2471;0;411190;135367;116658;16786;22803;4064;27837;41344;35591;0;0;0;10740;0;0;0;0;0
32;439;439;430794;564891;140445;290348;163;290511;105;1286;156;11;2;0;0;143;290436;143;6;290430;5787;4061;1519;0;284643;84410;72755;12652;13682;6687;39774;29161;25522;0;0;0;0;0;0;0;0;0
33;983;983;794448;1031221;311674;482772;176;482948;480;3637;163;9;1;0;0;153;482800;153;6;482794;14104;9745;3898;0;468690;200652;80866;13106;19395;44574;36880;44115;23360;2344;1792;0;0;448;1158;0;0;0
34;460;460;386108;503061;178389;207717;119;207836;126;1428;109;4;0;0;0;105;207784;105;26;207758;7396;5565;1708;0;200362;63236;60359;7608;9480;13411;15407;16514;11668;1426;1253;0;0;0;0;0;0;0
35;673;673;490345;636139;216076;274262;189;274451;164;2924;170;10;0;1;0;165;274385;165;8;274377;8211;5738;2150;0;266166;80970;72055;9948;13584;22458;23312;23888;18141;0;1810;0;0;0;0;0;0;0
36;701;701;608886;797144;232149;376737;170;376907;177;1624;164;4;2;1;0;157;376828;156;3;376825;13641;9581;3730;0;363184;115668;89668;11497;15422;39874;32047;28996;25557;1973;1982;0;0;500;0;0;0;0
37;528;528;469610;617224;181782;287819;161;287980;149;1263;152;7;4;1;1;139;287896;139;8;287888;10504;7464;2721;0;277384;103781;56111;11032;11061;19027;32649;24486;19237;0;0;0;0;0;0;0;0;0
38;525;525;465076;610758;183749;281325;102;281427;175;1453;99;4;0;0;0;95;281373;95;2;281371;11098;7962;2671;0;270273;73665;83845;10591;11004;20712;24723;24359;18859;0;2515;0;0;0;0;0;0;0
39;476;476;532389;692746;115266;417078;464;417542;171;6380;424;12;0;0;4;408;417260;408;50;417210;7324;4923;2145;0;409886;97975;146141;18854;19548;7809;33080;24825;59387;2267;0;0;0;0;0;0;0;0
40;469;469;394987;515403;170152;224830;172;225002;136;4258;154;15;0;0;0;139;224913;139;29;224884;7867;5969;1738;0;217017;62032;65262;8466;9672;8972;24697;20428;17488;0;0;0;0;0;0;0;0;0
41;657;657;628823;826850;238025;390770;321;391091;229;4204;302;10;0;0;0;292;390912;292;27;390885;10386;7200;2947;0;380499;110697;121479;15678;20291;14776;32584;32030;32964;0;0;0;0;0;0;0;0;0
