Okręg;Liczba komisji;Liczba uwzględnionych komisji;Kart przekazane do komisji;Uprawnionych do głosowania;Karty nieużyte;Karty wydane osobiście;Karty wydane pocztą;Karty wydane łącznie;Głosujący przez pełnomocnika;Głosujący z zaświadczeniem;Otrzymane koperty;Koperty bez deklaracji;Koperty z niepodpisaną deklaracją;Koperty bez koperty z głosem;Koperty z niezamnkiętą kopertą z głosem;Koperty z głosem dodane do urny;Karty wyjęte z urny;Karty wyjęte z kopert;Nieważne karty;Ważne karty;Nieważne głosy;Zbyt wiele Xów;Brak Xa;Wykreślona lista;Głosów ważnych łącznie;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19;KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19;KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19;KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19;KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19;KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19
27;0;0;569412;605360;176394;393014;38;393052;503;4575;38;5;0;0;0;33;392959;33;12;392947;3691;2085;1606;0;389256;105876;0;28900;27752;0;182027;0;44701;0;0
28;0;0;431901;470075;144067;287824;42;287866;330;1864;40;0;0;0;0;40;287791;40;14;287777;3260;2141;1119;0;284517;64374;0;17278;24704;0;125990;0;44354;7817;0
29;0;0;534418;581805;190114;344301;30;344331;334;1759;29;1;0;0;0;28;344292;28;8;344284;3637;2074;1563;0;340647;111078;0;26114;20408;0;128579;0;45583;8885;0
30;0;0;524127;558077;186917;337185;27;337212;353;1107;27;1;0;0;0;26;337148;26;18;337130;3294;1901;1393;0;333836;92493;0;23939;18816;0;161160;0;32300;5128;0
31;0;0;677792;740858;203558;474223;52;474275;482;2886;51;2;1;0;1;47;474144;47;21;474123;4490;2516;1974;0;469633;174683;0;34416;20512;0;184030;0;55992;0;0
32;0;0;491534;537371;153020;338510;42;338552;355;1516;41;2;1;0;1;37;338481;37;7;338474;3043;1874;1169;0;335431;99499;0;21650;16263;0;124553;0;73466;0;0
33;0;0;927566;998797;351202;576353;33;576386;899;4587;32;0;0;1;0;31;576308;31;32;576276;6385;4016;2369;0;569891;94880;0;33895;56289;0;314455;8273;56699;5400;0
34;0;0;447186;484489;191809;255374;20;255394;264;1772;20;2;1;1;0;16;255370;16;11;255359;4540;3263;1277;0;250819;71320;0;14187;27319;0;102478;0;29196;6319;0
35;0;0;569496;619669;232809;336643;33;336676;393;3804;32;4;0;0;1;27;336647;27;12;336635;4951;3096;1855;0;331684;87780;0;23134;43758;0;128760;2340;45912;0;0
36;0;0;720895;782102;254203;466690;56;466746;388;1897;56;2;1;1;0;52;466669;52;8;466661;7509;5005;2504;0;459152;113489;0;30177;58759;0;195053;0;61674;0;0
37;0;0;556500;606633;198030;358457;33;358490;312;1504;31;2;0;0;0;29;358437;29;21;358416;5375;3773;1602;0;353041;72295;2261;23810;34620;0;166965;0;53090;0;0
38;0;0;550788;601148;195405;355382;18;355400;367;1825;18;0;0;0;0;18;355334;18;13;355321;6270;4437;1833;0;349051;106810;0;23123;48371;0;124392;0;46355;0;0
39;0;0;634485;709238;115525;518935;61;518996;399;6156;60;4;0;1;0;55;518801;55;135;518666;4139;2333;1806;0;514527;233474;0;34024;31875;0;130319;0;84835;0;0
40;0;0;456863;498780;180203;276658;27;276685;342;7719;27;1;1;0;0;25;276638;25;13;276625;4914;3470;1444;0;271711;87799;0;16259;25632;0;100078;0;41943;0;0
41;0;0;732615;802417;256060;476544;51;476595;533;6380;50;5;1;0;1;44;476444;44;127;476317;5788;3698;2090;0;470529;168022;0;30744;34807;0;165200;0;71756;0;0
