Party;Threshold
PlatformaObywatelska;5
Prawica;5
PolskieStronnictwoLudowe;5
PrawoISprawiedliwość;5
RuchPalikota;5
Korwin;5
SojuszLewicyDemokratycznej;5
Samoobrona;5
PolskaJestNajważniejsza;5
PartiaPracy;5
MniejszośćNiemiecka;0
