"Numer okręgu";"Nazwa";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"16";"Okręg Wyborczy Nr 16";"594543";"651882";"218513";"376018";"516";"1885";"23";"21";"0";"0";"0";"0";"21";"376000";"21";"3";"375997";"5436";"3388";"2048";"0";"370561";"62429";"";"19405";"56227";"";"194371";"";"32448";"5681";""
"17";"Okręg Wyborczy Nr 17";"511886";"556858";"173078";"338801";"442";"1728";"28";"26";"1";"0";"0";"0";"25";"338782";"25";"15";"338767";"3758";"2152";"1606";"0";"335009";"57449";"";"19724";"34185";"";"193709";"2503";"24884";"2555";""
"18";"Okręg Wyborczy Nr 18";"684696";"752277";"225904";"458770";"599";"2582";"25";"24";"1";"0";"0";"0";"23";"458762";"23";"10";"458752";"5846";"3347";"2499";"0";"452906";"63124";"1412";"29390";"54085";"";"270641";"";"29235";"5019";""
"19";"Okręg Wyborczy Nr 19";"1670076";"1742400";"279264";"1390641";"1164";"38061";"194";"184";"21";"2";"0";"0";"164";"1389970";"164";"447";"1389523";"7606";"3476";"4130";"0";"1381917";"581077";"";"103843";"65683";"";"379880";"";"251434";"";""
"20";"Okręg Wyborczy Nr 20";"774331";"856128";"170104";"604224";"507";"5330";"96";"95";"2";"1";"0";"0";"92";"604128";"92";"68";"604060";"5333";"2964";"2369";"0";"598727";"171286";"";"39675";"51484";"";"244823";"";"78348";"13111";""
"21";"Okręg Wyborczy Nr 21";"719838";"779536";"307303";"412525";"468";"2414";"29";"29";"0";"0";"0";"0";"29";"412469";"29";"17";"412452";"6013";"4104";"1909";"0";"406439";"108570";"";"23176";"41901";"";"152999";"";"47699";"";"32094"
"22";"Okręg Wyborczy Nr 22";"648912";"701642";"253336";"395573";"766";"6939";"31";"31";"2";"0";"0";"0";"29";"395556";"29";"7";"395549";"4968";"3298";"1670";"0";"390581";"62246";"";"26615";"30655";"";"247488";"";"23577";"";""
"23";"Okręg Wyborczy Nr 23";"907022";"988338";"312711";"594307";"850";"4375";"41";"40";"1";"0";"0";"0";"39";"594277";"38";"19";"594258";"5472";"3172";"2300";"0";"588786";"84703";"";"48600";"45868";"";"367268";"3530";"38817";"";""
"24";"Okręg Wyborczy Nr 24";"848752";"922518";"323189";"525568";"895";"3680";"62";"62";"2";"1";"1";"0";"58";"525560";"58";"17";"525543";"4965";"2770";"2195";"0";"520578";"109527";"1775";"36207";"48566";"";"270888";"2272";"47342";"4001";""
"25";"Okręg Wyborczy Nr 25";"753982";"831651";"219856";"534255";"500";"8501";"99";"99";"4";"1";"0";"0";"94";"534071";"94";"46";"534025";"5196";"3218";"1978";"0";"528829";"218484";"";"38153";"31203";"";"169753";"";"71236";"";""
