"Kod TERYT";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"020101";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"27857";"29895";"9656";"18201";"17";"96";"4";"4";"0";"1";"0";"0";"3";"18199";"3";"0";"18199";"210";"97";"113";"0";"17989";"4308";"";"1109";"972";"";"6445";"";"3997";"1158";""
"020102";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"10224";"11171";"3907";"6317";"0";"29";"0";"0";"0";"0";"0";"0";"0";"6317";"0";"1";"6316";"93";"54";"39";"0";"6223";"1197";"";"472";"577";"";"2716";"";"930";"331";""
"020103";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"4014";"4306";"1739";"2274";"1";"8";"0";"0";"0";"0";"0";"0";"0";"2275";"0";"0";"2275";"55";"45";"10";"0";"2220";"287";"";"117";"154";"";"1128";"";"428";"106";""
"020104";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"10637";"11683";"4937";"5700";"1";"24";"0";"0";"0";"0";"0";"0";"0";"5700";"0";"0";"5700";"109";"69";"40";"0";"5591";"878";"";"432";"537";"";"2980";"";"545";"219";""
"020105";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"4905";"5392";"2212";"2693";"0";"36";"0";"0";"0";"0";"0";"0";"0";"2693";"0";"0";"2693";"67";"44";"23";"0";"2626";"509";"";"183";"216";"";"1200";"";"410";"108";""
"020106";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"6143";"6651";"2717";"3426";"3";"10";"0";"0";"0";"0";"0";"0";"0";"3426";"0";"1";"3425";"56";"38";"18";"0";"3369";"624";"";"245";"285";"";"1667";"";"406";"142";""
"020201";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"21971";"23936";"9028";"12938";"10";"64";"0";"0";"0";"0";"0";"0";"0";"12942";"0";"1";"12941";"186";"127";"59";"0";"12755";"3474";"";"725";"901";"";"5264";"";"1856";"535";""
"020202";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"23857";"26022";"8360";"15497";"26";"64";"3";"3";"0";"0";"0";"0";"3";"15501";"3";"3";"15498";"157";"101";"56";"0";"15341";"4638";"";"811";"2044";"";"5908";"";"1667";"273";""
"020203";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"6900";"7485";"3023";"3877";"7";"25";"0";"0";"0";"0";"0";"0";"0";"3876";"0";"0";"3876";"72";"47";"25";"0";"3804";"1096";"";"225";"304";"";"1766";"";"318";"95";""
"020204";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"4550";"4963";"2020";"2530";"4";"5";"1";"1";"0";"0";"0";"0";"1";"2529";"1";"0";"2529";"32";"22";"10";"0";"2497";"487";"";"172";"290";"";"1250";"";"240";"58";""
"020205";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"6775";"7370";"2673";"4102";"4";"19";"0";"0";"0";"0";"0";"0";"0";"4102";"0";"0";"4102";"67";"46";"21";"0";"4035";"809";"";"231";"520";"";"2070";"";"336";"69";""
"020206";"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";"5404";"5967";"2167";"3236";"3";"14";"2";"1";"0";"0";"0";"0";"1";"3237";"1";"0";"3237";"46";"32";"14";"0";"3191";"620";"";"193";"297";"";"1793";"";"239";"49";""
"020207";"gm. Niemcza";"dzierżoniowski";"dolnośląskie";"4063";"4453";"1815";"2248";"6";"35";"0";"0";"0";"0";"0";"0";"0";"2248";"0";"0";"2248";"44";"29";"15";"0";"2204";"494";"";"116";"256";"";"1062";"";"241";"35";""
"020301";"m. Głogów";"głogowski";"dolnośląskie";"47393";"51453";"15939";"31454";"22";"178";"2";"2";"0";"0";"0";"0";"2";"31447";"2";"7";"31440";"256";"158";"98";"0";"31184";"8615";"";"1608";"1346";"";"13285";"";"5512";"818";""
"020302";"gm. Głogów";"głogowski";"dolnośląskie";"4809";"5237";"1541";"3268";"1";"9";"0";"0";"0";"0";"0";"0";"0";"3268";"0";"0";"3268";"60";"43";"17";"0";"3208";"745";"";"186";"231";"";"1550";"";"432";"64";""
"020303";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"3600";"3853";"1104";"2496";"5";"12";"0";"0";"0";"0";"0";"0";"0";"2496";"0";"0";"2496";"45";"33";"12";"0";"2451";"577";"";"158";"166";"";"1056";"";"435";"59";""
"020304";"gm. Kotla";"głogowski";"dolnośląskie";"3118";"3398";"1401";"1717";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1717";"0";"0";"1717";"34";"25";"9";"0";"1683";"355";"";"77";"93";"";"921";"";"193";"44";""
"020305";"gm. Pęcław";"głogowski";"dolnośląskie";"1606";"1732";"738";"868";"0";"1";"0";"0";"0";"0";"0";"0";"0";"868";"0";"0";"868";"22";"11";"11";"0";"846";"102";"";"39";"131";"";"525";"";"42";"7";""
"020306";"gm. Żukowice";"głogowski";"dolnośląskie";"2406";"2681";"1002";"1404";"5";"5";"0";"0";"0";"0";"0";"0";"0";"1404";"0";"0";"1404";"35";"29";"6";"0";"1369";"263";"";"86";"99";"";"704";"";"185";"32";""
"020401";"gm. Góra";"górowski";"dolnośląskie";"14003";"15265";"6133";"7869";"3";"26";"1";"1";"0";"0";"0";"0";"1";"7869";"1";"1";"7868";"98";"71";"27";"0";"7770";"2076";"";"446";"567";"";"3433";"";"920";"328";""
"020402";"gm. Jemielno";"górowski";"dolnośląskie";"2188";"2405";"1040";"1148";"5";"7";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"25";"16";"9";"0";"1123";"177";"";"57";"110";"";"650";"";"106";"23";""
"020403";"gm. Niechlów";"górowski";"dolnośląskie";"3499";"3771";"1675";"1824";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1824";"0";"0";"1824";"30";"19";"11";"0";"1794";"258";"";"97";"147";"";"1105";"";"140";"47";""
"020404";"gm. Wąsosz";"górowski";"dolnośląskie";"5294";"5735";"2439";"2855";"9";"13";"0";"0";"0";"0";"0";"0";"0";"2855";"0";"0";"2855";"64";"40";"24";"0";"2791";"533";"";"149";"266";"";"1393";"";"352";"98";""
"020501";"m. Jawor";"jaworski";"dolnośląskie";"16984";"18180";"6458";"10527";"15";"43";"2";"2";"0";"0";"0";"0";"2";"10523";"2";"9";"10514";"118";"84";"34";"0";"10396";"2643";"";"583";"803";"";"4779";"";"1385";"203";""
"020502";"gm. Bolków";"jaworski";"dolnośląskie";"7502";"8204";"3402";"4100";"7";"32";"0";"0";"0";"0";"0";"0";"0";"4100";"0";"0";"4100";"109";"85";"24";"0";"3991";"700";"";"206";"448";"";"1805";"";"770";"62";""
"020503";"gm. Męcinka";"jaworski";"dolnośląskie";"3600";"3942";"1430";"2170";"1";"7";"0";"0";"0";"0";"0";"0";"0";"2169";"0";"0";"2169";"24";"22";"2";"0";"2145";"347";"";"116";"211";"";"1230";"";"213";"28";""
"020504";"gm. Mściwojów";"jaworski";"dolnośląskie";"2900";"3204";"1147";"1753";"5";"3";"0";"0";"0";"0";"0";"0";"0";"1752";"0";"0";"1752";"27";"17";"10";"0";"1725";"344";"";"93";"241";"";"832";"";"181";"34";""
"020505";"gm. Paszowice";"jaworski";"dolnośląskie";"2899";"3190";"1206";"1693";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1693";"0";"0";"1693";"31";"25";"6";"0";"1662";"295";"";"94";"197";"";"866";"";"184";"26";""
"020506";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"2868";"3204";"1154";"1712";"9";"8";"0";"0";"0";"0";"0";"0";"0";"1714";"0";"1";"1713";"32";"20";"12";"0";"1681";"294";"";"72";"308";"";"852";"";"132";"23";""
"020601";"m. Karpacz";"jeleniogórski";"dolnośląskie";"4025";"5048";"621";"3404";"5";"1118";"0";"0";"0";"0";"0";"0";"0";"3404";"0";"1";"3403";"29";"20";"9";"0";"3374";"1418";"";"185";"244";"";"786";"";"686";"55";""
"020602";"m. Kowary";"jeleniogórski";"dolnośląskie";"7875";"8374";"3331";"4543";"12";"55";"1";"1";"0";"0";"0";"0";"1";"4544";"1";"0";"4544";"66";"43";"23";"0";"4478";"1422";"";"271";"384";"";"1456";"";"865";"80";""
"020603";"m. Piechowice";"jeleniogórski";"dolnośląskie";"4508";"5011";"1564";"2944";"7";"84";"0";"0";"0";"0";"0";"0";"0";"2944";"0";"0";"2944";"41";"27";"14";"0";"2903";"956";"";"192";"195";"";"939";"";"576";"45";""
"020604";"m. Szklarska Poręba";"jeleniogórski";"dolnośląskie";"4905";"5921";"1072";"3833";"12";"894";"0";"0";"0";"0";"0";"0";"0";"3833";"0";"0";"3833";"43";"17";"26";"0";"3790";"1465";"";"193";"219";"";"1086";"";"754";"73";""
"020605";"gm. Janowice Wielkie";"jeleniogórski";"dolnośląskie";"3041";"3393";"1127";"1914";"2";"45";"0";"0";"0";"0";"0";"0";"0";"1914";"0";"0";"1914";"38";"24";"14";"0";"1876";"573";"";"114";"135";"";"650";"";"375";"29";""
"020606";"gm. Jeżów Sudecki";"jeleniogórski";"dolnośląskie";"5210";"5752";"1775";"3433";"5";"23";"0";"0";"0";"0";"0";"0";"0";"3433";"0";"0";"3433";"33";"24";"9";"0";"3400";"1095";"";"195";"304";"";"1018";"";"729";"59";""
"020607";"gm. Mysłakowice";"jeleniogórski";"dolnośląskie";"7302";"7943";"2738";"4564";"6";"74";"0";"0";"0";"0";"0";"0";"0";"4563";"0";"0";"4563";"56";"36";"20";"0";"4507";"1373";"";"296";"369";"";"1634";"";"756";"79";""
"020608";"gm. Podgórzyn";"jeleniogórski";"dolnośląskie";"5956";"6504";"2195";"3761";"6";"74";"0";"0";"0";"0";"0";"0";"0";"3761";"0";"0";"3761";"67";"41";"26";"0";"3694";"1246";"";"232";"298";"";"1158";"";"686";"74";""
"020609";"gm. Stara Kamienica";"jeleniogórski";"dolnośląskie";"3897";"4158";"1736";"2161";"5";"27";"0";"0";"0";"0";"0";"0";"0";"2161";"0";"0";"2161";"31";"18";"13";"0";"2130";"547";"";"150";"165";"";"813";"";"424";"31";""
"020701";"m. Kamienna Góra";"kamiennogórski";"dolnośląskie";"14308";"15141";"5965";"8343";"13";"48";"0";"0";"0";"0";"0";"0";"0";"8339";"0";"0";"8339";"116";"60";"56";"0";"8223";"2823";"";"409";"319";"";"3273";"";"1281";"118";""
"020702";"gm. Kamienna Góra";"kamiennogórski";"dolnośląskie";"6429";"6899";"2531";"3898";"2";"51";"1";"1";"0";"0";"0";"0";"1";"3899";"1";"0";"3899";"70";"39";"31";"0";"3829";"1210";"";"229";"205";"";"1701";"";"420";"64";""
"020703";"gm. Lubawka";"kamiennogórski";"dolnośląskie";"7992";"8728";"3102";"4890";"8";"58";"0";"0";"0";"0";"0";"0";"0";"4889";"0";"0";"4889";"76";"54";"22";"0";"4813";"1523";"";"252";"243";"";"1908";"";"814";"73";""
"020704";"gm. Marciszów";"kamiennogórski";"dolnośląskie";"3197";"3580";"1366";"1831";"0";"18";"0";"0";"0";"0";"0";"0";"0";"1831";"0";"0";"1831";"31";"23";"8";"0";"1800";"461";"";"98";"114";"";"811";"";"267";"49";""
"020801";"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";"3759";"4089";"1269";"2490";"8";"393";"0";"0";"0";"0";"0";"0";"0";"2490";"0";"0";"2490";"27";"15";"12";"0";"2463";"792";"";"164";"126";"";"958";"";"364";"59";""
"020802";"m. Kłodzko";"kłodzki";"dolnośląskie";"19812";"21449";"7375";"12437";"31";"128";"1";"1";"0";"0";"0";"0";"1";"12438";"1";"1";"12437";"154";"109";"45";"0";"12283";"4318";"";"633";"797";"";"4558";"";"1742";"235";""
"020803";"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";"7518";"8660";"2241";"5277";"13";"798";"0";"0";"0";"0";"0";"0";"0";"5277";"0";"0";"5277";"54";"33";"21";"0";"5223";"1661";"";"254";"383";"";"2086";"";"673";"166";""
"020804";"m. Nowa Ruda";"kłodzki";"dolnośląskie";"16475";"17742";"7314";"9161";"8";"70";"1";"1";"0";"0";"0";"0";"1";"9160";"1";"4";"9156";"99";"64";"35";"0";"9057";"3557";"";"464";"430";"";"3284";"";"1045";"277";""
"020805";"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";"4904";"6120";"1076";"3828";"7";"711";"0";"0";"0";"0";"0";"0";"0";"3826";"0";"1";"3825";"45";"28";"17";"0";"3780";"1407";"";"162";"231";"";"1395";"";"481";"104";""
"020806";"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";"13892";"15253";"5393";"8499";"14";"214";"0";"0";"0";"0";"0";"0";"0";"8499";"0";"0";"8499";"160";"112";"48";"0";"8339";"2183";"";"395";"724";"";"4040";"";"856";"141";""
"020807";"gm. Kłodzko";"kłodzki";"dolnośląskie";"12361";"13526";"5344";"7017";"5";"36";"1";"1";"0";"0";"0";"0";"1";"7018";"1";"0";"7018";"129";"81";"48";"0";"6889";"1446";"";"369";"1059";"";"3376";"";"530";"109";""
"020808";"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";"6523";"7243";"2550";"3973";"9";"474";"3";"3";"0";"0";"0";"0";"3";"3975";"3";"0";"3975";"66";"41";"25";"0";"3909";"1166";"";"241";"382";"";"1627";"";"436";"57";""
"020809";"gm. Lewin Kłodzki";"kłodzki";"dolnośląskie";"1420";"1618";"559";"861";"5";"72";"0";"0";"0";"0";"0";"0";"0";"861";"0";"0";"861";"10";"1";"9";"0";"851";"239";"";"53";"52";"";"351";"";"127";"29";""
"020810";"gm. Międzylesie";"kłodzki";"dolnośląskie";"5310";"5814";"2194";"3116";"2";"55";"0";"0";"0";"0";"0";"0";"0";"3116";"0";"0";"3116";"75";"61";"14";"0";"3041";"886";"";"194";"257";"";"1319";"";"334";"51";""
"020811";"gm. Nowa Ruda";"kłodzki";"dolnośląskie";"8507";"9279";"3716";"4791";"2";"32";"0";"0";"0";"0";"0";"0";"0";"4791";"0";"0";"4791";"85";"61";"24";"0";"4706";"1453";"";"290";"308";"";"1992";"";"542";"121";""
"020812";"gm. Radków";"kłodzki";"dolnośląskie";"6592";"7242";"2907";"3685";"9";"90";"0";"0";"0";"0";"0";"0";"0";"3685";"0";"0";"3685";"76";"52";"24";"0";"3609";"1056";"";"233";"246";"";"1706";"";"269";"99";""
"020813";"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";"5347";"5903";"2152";"3194";"2";"145";"0";"0";"0";"0";"0";"0";"0";"3195";"0";"1";"3194";"48";"34";"14";"0";"3146";"940";"";"274";"274";"";"1147";"";"444";"67";""
"020814";"gm. Szczytna";"kłodzki";"dolnośląskie";"5292";"5819";"2224";"3067";"2";"91";"0";"0";"0";"0";"0";"0";"0";"3067";"0";"0";"3067";"42";"31";"11";"0";"3025";"871";"";"238";"259";"";"1234";"";"333";"90";""
"020901";"m. Chojnów";"legnicki";"dolnośląskie";"9550";"10240";"3877";"5673";"4";"23";"1";"1";"0";"0";"0";"0";"1";"5674";"1";"0";"5674";"59";"41";"18";"0";"5615";"1304";"";"360";"386";"";"2494";"";"857";"214";""
"020902";"gm. Chojnów";"legnicki";"dolnośląskie";"6851";"7502";"2818";"4033";"4";"16";"0";"0";"0";"0";"0";"0";"0";"4033";"0";"0";"4033";"62";"42";"20";"0";"3971";"572";"";"245";"433";"";"2198";"";"409";"114";""
"020903";"gm. Krotoszyce";"legnicki";"dolnośląskie";"2402";"2581";"891";"1511";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1511";"0";"0";"1511";"30";"18";"12";"0";"1481";"258";"";"99";"111";"";"819";"";"138";"56";""
"020904";"gm. Kunice";"legnicki";"dolnośląskie";"4730";"5244";"1270";"3460";"2";"17";"0";"0";"0";"0";"0";"0";"0";"3460";"0";"1";"3459";"45";"32";"13";"0";"3414";"894";"";"201";"375";"";"1360";"";"479";"105";""
"020905";"gm. Legnickie Pole";"legnicki";"dolnośląskie";"3560";"3818";"1219";"2341";"2";"2";"0";"0";"0";"0";"0";"0";"0";"2340";"0";"0";"2340";"41";"29";"12";"0";"2299";"418";"";"124";"234";"";"1236";"";"225";"62";""
"020906";"gm. Miłkowice";"legnicki";"dolnośląskie";"4800";"5191";"1647";"3153";"1";"10";"0";"0";"0";"0";"0";"0";"0";"3152";"0";"1";"3151";"39";"27";"12";"0";"3112";"631";"";"188";"281";"";"1480";"";"398";"134";""
"020907";"gm. Prochowice";"legnicki";"dolnośląskie";"5316";"5849";"1970";"3346";"3";"6";"0";"0";"0";"0";"0";"0";"0";"3345";"0";"0";"3345";"63";"44";"19";"0";"3282";"572";"";"197";"664";"";"1489";"";"266";"94";""
"020908";"gm. Ruja";"legnicki";"dolnośląskie";"1990";"2034";"1038";"952";"3";"3";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"17";"10";"7";"0";"935";"121";"";"40";"112";"";"544";"";"97";"21";""
"021001";"m. Lubań";"lubański";"dolnośląskie";"15159";"16625";"5705";"9454";"13";"84";"0";"0";"0";"0";"0";"0";"0";"9453";"0";"0";"9453";"78";"45";"33";"0";"9375";"2782";"";"563";"543";"";"3376";"";"1860";"251";""
"021002";"m. Świeradów-Zdrój";"lubański";"dolnośląskie";"3178";"3660";"996";"2182";"3";"345";"0";"0";"0";"0";"0";"0";"0";"2181";"0";"0";"2181";"29";"15";"14";"0";"2152";"652";"";"137";"141";"";"767";"";"404";"51";""
"021003";"gm. Leśna";"lubański";"dolnośląskie";"7000";"7858";"2995";"4005";"8";"76";"0";"0";"0";"0";"0";"0";"0";"4004";"0";"0";"4004";"79";"54";"25";"0";"3925";"948";"";"252";"325";"";"1672";"";"638";"90";""
"021004";"gm. Lubań";"lubański";"dolnośląskie";"4713";"5109";"2041";"2672";"0";"14";"0";"0";"0";"0";"0";"0";"0";"2672";"0";"0";"2672";"34";"24";"10";"0";"2638";"559";"";"140";"338";"";"1163";"";"359";"79";""
"021005";"gm. Olszyna";"lubański";"dolnośląskie";"4711";"5132";"2095";"2616";"4";"12";"0";"0";"0";"0";"0";"0";"0";"2616";"0";"0";"2616";"53";"42";"11";"0";"2563";"477";"";"179";"228";"";"1063";"";"560";"56";""
"021006";"gm. Platerówka";"lubański";"dolnośląskie";"1102";"1286";"393";"709";"1";"2";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"13";"5";"8";"0";"695";"115";"";"45";"71";"";"366";"";"82";"16";""
"021007";"gm. Siekierczyn";"lubański";"dolnośląskie";"3699";"3965";"1574";"2125";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2125";"0";"0";"2125";"45";"27";"18";"0";"2080";"445";"";"122";"200";"";"908";"";"339";"66";""
"021101";"m. Lubin";"lubiński";"dolnośląskie";"51858";"55518";"16645";"35212";"37";"137";"2";"2";"0";"0";"0";"0";"2";"35209";"2";"0";"35209";"278";"191";"87";"0";"34931";"7646";"";"2013";"1412";"";"16453";"";"5194";"2213";""
"021102";"gm. Lubin";"lubiński";"dolnośląskie";"11122";"12251";"3311";"7811";"3";"41";"0";"0";"0";"0";"0";"0";"0";"7811";"0";"0";"7811";"95";"75";"20";"0";"7716";"1662";"";"461";"462";"";"3661";"";"1083";"387";""
"021103";"gm. Rudna";"lubiński";"dolnośląskie";"5701";"6087";"2222";"3478";"5";"10";"0";"0";"0";"0";"0";"0";"0";"3478";"0";"0";"3478";"60";"32";"28";"0";"3418";"477";"";"190";"221";"";"1970";"";"388";"172";""
"021104";"gm. Ścinawa";"lubiński";"dolnośląskie";"7099";"7683";"2760";"4339";"4";"12";"0";"0";"0";"0";"0";"0";"0";"4339";"0";"0";"4339";"70";"52";"18";"0";"4269";"554";"";"262";"227";"";"2562";"";"399";"265";""
"021201";"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";"7177";"7696";"3221";"3956";"6";"22";"0";"0";"0";"0";"0";"0";"0";"3955";"0";"0";"3955";"72";"40";"32";"0";"3883";"798";"";"207";"357";"";"1495";"";"940";"86";""
"021202";"gm. Lubomierz";"lwówecki";"dolnośląskie";"4511";"4812";"2087";"2424";"4";"77";"0";"0";"0";"0";"0";"0";"0";"2424";"0";"0";"2424";"50";"35";"15";"0";"2374";"547";"";"143";"299";"";"965";"";"360";"60";""
"021203";"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";"12363";"13488";"5106";"7257";"7";"60";"0";"0";"0";"0";"0";"0";"0";"7257";"0";"1";"7256";"130";"99";"31";"0";"7126";"1499";"";"488";"1318";"";"2699";"";"968";"154";""
"021204";"gm. Mirsk";"lwówecki";"dolnośląskie";"6303";"6877";"2949";"3354";"3";"22";"0";"0";"0";"0";"0";"0";"0";"3354";"0";"0";"3354";"63";"31";"32";"0";"3291";"658";"";"225";"355";"";"1460";"";"494";"99";""
"021205";"gm. Wleń";"lwówecki";"dolnośląskie";"3220";"3445";"1414";"1806";"5";"30";"0";"0";"0";"0";"0";"0";"0";"1806";"0";"0";"1806";"47";"29";"18";"0";"1759";"399";"";"105";"204";"";"752";"";"226";"73";""
"021301";"gm. Cieszków";"milicki";"dolnośląskie";"3498";"3707";"1395";"2103";"2";"8";"0";"0";"0";"0";"0";"0";"0";"2103";"0";"0";"2103";"32";"20";"12";"0";"2071";"271";"";"126";"331";"";"1065";"";"224";"54";""
"021302";"gm. Krośnice";"milicki";"dolnośląskie";"5780";"6327";"2378";"3402";"3";"17";"0";"0";"0";"0";"0";"0";"0";"3402";"0";"0";"3402";"53";"36";"17";"0";"3349";"504";"";"193";"484";"";"1746";"";"288";"134";""
"021303";"gm. Milicz";"milicki";"dolnośląskie";"17305";"18986";"6638";"10667";"11";"53";"0";"0";"0";"0";"0";"0";"0";"10657";"0";"0";"10657";"131";"82";"49";"0";"10526";"2128";"";"569";"1605";"";"4560";"";"1258";"406";""
"021401";"m. Oleśnica";"oleśnicki";"dolnośląskie";"26521";"28770";"8441";"18080";"27";"90";"0";"0";"0";"0";"0";"0";"0";"18078";"0";"0";"18078";"156";"94";"62";"0";"17922";"5365";"";"1204";"1054";"";"6625";"";"2683";"991";""
"021402";"gm. Bierutów";"oleśnicki";"dolnośląskie";"7597";"7841";"3510";"4087";"3";"14";"1";"1";"0";"0";"0";"0";"1";"4088";"1";"0";"4088";"60";"36";"24";"0";"4028";"1089";"";"267";"303";"";"1933";"";"319";"117";""
"021403";"gm. Dobroszyce";"oleśnicki";"dolnośląskie";"4701";"5253";"1657";"3044";"0";"17";"0";"0";"0";"0";"0";"0";"0";"3044";"0";"0";"3044";"34";"24";"10";"0";"3010";"679";"";"204";"243";"";"1408";"";"319";"157";""
"021404";"gm. Dziadowa Kłoda";"oleśnicki";"dolnośląskie";"3300";"3551";"1504";"1796";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1796";"0";"0";"1796";"39";"26";"13";"0";"1757";"343";"";"124";"271";"";"787";"";"170";"62";""
"021405";"gm. Międzybórz";"oleśnicki";"dolnośląskie";"3600";"3999";"1571";"2029";"2";"14";"0";"0";"0";"0";"0";"0";"0";"2029";"0";"2";"2027";"37";"23";"14";"0";"1990";"547";"";"142";"229";"";"772";"";"215";"85";""
"021406";"gm. Oleśnica";"oleśnicki";"dolnośląskie";"9468";"10504";"3613";"5855";"3";"15";"0";"0";"0";"0";"0";"0";"0";"5854";"0";"0";"5854";"91";"73";"18";"0";"5763";"1650";"";"372";"426";"";"2504";"";"569";"242";""
"021407";"gm. Syców";"oleśnicki";"dolnośląskie";"12099";"13015";"4606";"7493";"7";"48";"2";"2";"0";"0";"0";"0";"2";"7495";"2";"0";"7495";"100";"65";"35";"0";"7395";"1782";"";"571";"1180";"";"2678";"";"967";"217";""
"021408";"gm. Twardogóra";"oleśnicki";"dolnośląskie";"9426";"10221";"3652";"5774";"6";"34";"0";"0";"0";"0";"0";"0";"0";"5773";"0";"0";"5773";"102";"58";"44";"0";"5671";"1313";"";"368";"658";"";"2486";"";"578";"268";""
"021501";"m. Oława";"oławski";"dolnośląskie";"23358";"25236";"6924";"16434";"13";"73";"0";"0";"0";"0";"0";"0";"0";"16434";"0";"1";"16433";"131";"88";"43";"0";"16302";"5157";"";"1184";"1041";"";"6162";"";"2186";"572";""
"021502";"gm. Domaniów";"oławski";"dolnośląskie";"3687";"4152";"1361";"2326";"4";"9";"0";"0";"0";"0";"0";"0";"0";"2326";"0";"0";"2326";"37";"23";"14";"0";"2289";"412";"";"186";"209";"";"1198";"";"209";"75";""
"021503";"gm. Jelcz-Laskowice";"oławski";"dolnośląskie";"16199";"17797";"5087";"11111";"5";"38";"1";"1";"0";"0";"0";"0";"1";"11112";"1";"0";"11112";"121";"71";"50";"0";"10991";"2842";"";"725";"726";"";"5098";"";"1171";"429";""
"021504";"gm. Oława";"oławski";"dolnośląskie";"10803";"11833";"3458";"7345";"8";"43";"0";"0";"0";"0";"0";"0";"0";"7345";"0";"1";"7344";"104";"51";"53";"0";"7240";"1760";"";"505";"542";"";"3484";"";"673";"276";""
"021601";"gm. Chocianów";"polkowicki";"dolnośląskie";"9100";"9955";"3231";"5869";"6";"30";"0";"0";"0";"0";"0";"0";"0";"5866";"0";"0";"5866";"98";"73";"25";"0";"5768";"1008";"";"442";"228";"";"3396";"";"478";"216";""
"021602";"gm. Gaworzyce";"polkowicki";"dolnośląskie";"2702";"3026";"926";"1776";"11";"4";"0";"0";"0";"0";"0";"0";"0";"1776";"0";"0";"1776";"34";"19";"15";"0";"1742";"269";"";"102";"164";"";"990";"";"159";"58";""
